Category	Term	Count	%	PValue	Genes	List Total	Pop Hits	Pop Total	Fold Enrichment	Bonferroni	Benjamini	FDR
GOTERM_BP_FAT	GO:0009891~positive regulation of biosynthetic process	146	6.437389771	8.40E-10	MEF2C, PDGFB, THRB, PDGFA, GDF6, ARNT2, EDN1, ZXDC, EIF5A, CASK, TLR3, RORB, TLR4, RORA, GDNF, TGFB1, CITED2, TGFB2, IL31RA, IL11, GATA2, MDFIC, GATA6, FOXF1, PDGFC, DDAH1, EBI3, SAMD4A, EGFR, PCBD1, RXRA, ARNTL, MECOM, PROX1, TRERF1, BOLL, PPARGC1B, AHR, EP300, SIX1, VEGFA, NFE2L2, TGFB1I1, UBA52, SOX2, ONECUT2, CYTL1, NFKBIA, SOX4, AFAP1L2, WT1, LIF, HOXA1, MEIS2, TEAD4, HOXA7, NPM1, MAML3, RUNX2, BMP4, KLF6, KLF7, TESC, EPAS1, KLF12, KLF13, CD276, SMAD3, ITGA2, SMAD1, ABCG1, HDAC5, HDAC4, DLX2, PLA2G4A, NOTCH1, ATF4, EBF3, ETS1, EBF2, ETS2, EBF1, HIVEP3, HOXB9, MAFA, KLF2, BMP7, ELF4, GRIP1, PPARG, ZEB1, PAWR, GLI2, GLI3, FOS, SOX15, GUCY1A3, MKL2, MKL1, ALX4, ATF7IP, ICAM1, AR, LEF1, HMGA1, CDK2, NRIP1, NCOA1, NCOA2, NCOA3, BPTF, HIPK2, FOXC1, USP22, NSD1, CLOCK, GLIS3, ABLIM3, PRKDC, TCF7L2, IGF1R, RGMB, NPAS2, SORBS1, PTK2B, SQSTM1, BCL11B, MAP3K1, PTX3, THBS1, NFATC2, NFATC3, FOXL2, CEBPB, LMX1B, PSRC1, IGF2, CREB5, AFF1, WWTR1, CENPK, ISL1, ATXN1, MEOX1, ZNF462, NFIB	1737	695	13528	1.636069797	3.69E-06	3.36E-07	1.58E-06
GOTERM_BP_FAT	GO:0031328~positive regulation of cellular biosynthetic process	144	6.349206349	1.06E-09	MEF2C, PDGFB, THRB, PDGFA, GDF6, ARNT2, EDN1, ZXDC, EIF5A, CASK, TLR3, RORB, TLR4, RORA, GDNF, TGFB1, CITED2, IL31RA, IL11, GATA2, MDFIC, GATA6, FOXF1, PDGFC, DDAH1, EBI3, SAMD4A, EGFR, PCBD1, RXRA, ARNTL, MECOM, PROX1, TRERF1, BOLL, PPARGC1B, AHR, EP300, SIX1, VEGFA, NFE2L2, TGFB1I1, UBA52, SOX2, ONECUT2, CYTL1, NFKBIA, SOX4, AFAP1L2, WT1, LIF, HOXA1, MEIS2, TEAD4, HOXA7, NPM1, MAML3, RUNX2, BMP4, KLF6, KLF7, TESC, EPAS1, KLF12, KLF13, CD276, SMAD3, ITGA2, SMAD1, HDAC5, HDAC4, DLX2, PLA2G4A, NOTCH1, ATF4, EBF3, ETS1, EBF2, ETS2, EBF1, HIVEP3, HOXB9, MAFA, KLF2, BMP7, ELF4, GRIP1, PPARG, ZEB1, PAWR, GLI2, GLI3, FOS, SOX15, GUCY1A3, MKL2, MKL1, ALX4, ATF7IP, ICAM1, AR, LEF1, HMGA1, CDK2, NRIP1, NCOA1, NCOA2, NCOA3, BPTF, HIPK2, FOXC1, USP22, NSD1, CLOCK, GLIS3, ABLIM3, PRKDC, TCF7L2, IGF1R, RGMB, NPAS2, SORBS1, PTK2B, SQSTM1, BCL11B, MAP3K1, THBS1, NFATC2, PTX3, NFATC3, FOXL2, CEBPB, LMX1B, PSRC1, IGF2, CREB5, AFF1, WWTR1, CENPK, ISL1, ATXN1, MEOX1, ZNF462, NFIB	1737	685	13528	1.637214931	4.68E-06	3.90E-07	2.00E-06
GOTERM_BP_FAT	GO:0048598~embryonic morphogenesis	78	3.439153439	2.96E-09	DLC1, NOG, HMX2, NDST1, FGF9, CRABP2, EDN1, PRRX1, ZEB2, ZEB1, PRRX2, GLI2, GLI3, ZIC2, CHRNA9, FOXF1, ALX4, RET, EOMES, LEF1, MECOM, MMP13, PROX1, SLIT2, HOXC10, VEGFC, MIB1, MSX1, HOXC11, GNAQ, PSEN2, SIX1, TGIF1, FOXC1, WNT9A, TGFB1I1, NSD1, HMX3, SHROOM3, TSHZ1, HOXA11, SOX2, ARFRP1, COL2A1, GREM1, TCF7L2, MSX2, HOXA1, PFN1, ECE1, HOXA3, MACF1, LHX1, HOXA5, HOXA7, HOXA9, FBN2, PPAP2B, BMP4, FOXL2, NF2, HTT, SMAD3, CELSR1, SMAD1, FZD6, HOXB3, HOXB4, DLX2, NOTCH1, HOXB2, DKK1, HOXB7, LAMA5, HOXB8, HOXB5, HOXB6, BMP7	1737	307	13528	1.978745788	1.30E-05	1.00E-06	5.55E-06
GOTERM_BP_FAT	GO:0010557~positive regulation of macromolecule biosynthetic process	137	6.040564374	3.57E-09	MEF2C, PDGFB, THRB, PDGFA, GDF6, ARNT2, ZXDC, EIF5A, CASK, TLR3, RORB, TLR4, RORA, GDNF, TGFB1, CITED2, TGFB2, IL31RA, IL11, GATA2, MDFIC, GATA6, FOXF1, PDGFC, SAMD4A, EBI3, PCBD1, RXRA, ARNTL, MECOM, PROX1, TRERF1, BOLL, PPARGC1B, AHR, EP300, SIX1, VEGFA, NFE2L2, TGFB1I1, UBA52, SOX2, ONECUT2, CYTL1, NFKBIA, SOX4, AFAP1L2, WT1, LIF, HOXA1, MEIS2, TEAD4, HOXA7, MAML3, RUNX2, BMP4, KLF6, KLF7, TESC, EPAS1, KLF12, KLF13, CD276, SMAD3, ITGA2, SMAD1, HDAC5, HDAC4, DLX2, NOTCH1, ATF4, EBF3, ETS1, EBF2, ETS2, EBF1, HIVEP3, HOXB9, MAFA, KLF2, BMP7, ELF4, GRIP1, PPARG, ZEB1, PAWR, GLI2, GLI3, FOS, SOX15, MKL2, MKL1, ALX4, ATF7IP, AR, LEF1, HMGA1, CDK2, NRIP1, NCOA1, NCOA2, BPTF, NCOA3, HIPK2, FOXC1, USP22, NSD1, CLOCK, GLIS3, ABLIM3, PRKDC, TCF7L2, IGF1R, RGMB, NPAS2, SORBS1, PTK2B, SQSTM1, BCL11B, MAP3K1, THBS1, NFATC2, NFATC3, FOXL2, CEBPB, LMX1B, PSRC1, CREB5, IGF2, AFF1, WWTR1, CENPK, ISL1, ATXN1, MEOX1, ZNF462, NFIB	1737	654	13528	1.631460619	1.57E-05	1.12E-06	6.70E-06
GOTERM_BP_FAT	GO:0006928~cell motion	106	4.67372134	8.65E-09	MTSS1, CTHRC1, PDGFB, GDNF, TGFB1, TGFB2, NRCAM, CTTNBP2, ANK3, CTGF, UNC5A, ROBO3, PTPRK, RET, PLXNB1, EFNB1, VAX1, PLAUR, VEGFC, LYST, SIX1, CATSPER1, SDCBP, LAMC1, UBA52, CAV2, ZFAND5, TNFRSF12A, ENPP2, CX3CL1, EPHB3, SRC, EPHB2, ALCAM, HOXA1, TUBB, PVRL1, ARPC3, MACF1, ARPC2, STRBP, ARHGDIB, FN1, PLAT, B4GALT1, KLF7, VAV3, PODXL, ITGA1, ARFIP2, ITGA2, ITGA4, NTN1, EPHA4, PARP9, ITGA5, ETS1, LAMA5, CXCL16, TGFBR3, BMP7, PLAU, MYH10, NRP2, ZEB2, GLI2, ACTR3, CXCR4, SEMA3C, MSN, TOP2B, ICAM1, SLIT2, SMO, FOXC1, VCAN, SHROOM2, ABI2, PRKDC, SPOCK1, CDH2, KIT, DNAH7, CDH4, TPM1, TPM4, TPM3, PTK2B, TNR, CD24, THBS1, PPAP2B, DCLK1, LMX1B, IL8, ANXA1, RPL24, ISL1, COL5A1, CDH13, BAX, MAPK8IP3, HBEGF, LRP8, BMPR1B, APBB2	1737	475	13528	1.737985032	3.81E-05	2.54E-06	1.62E-05
GOTERM_BP_FAT	GO:0007167~enzyme linked receptor protein signaling pathway	83	3.659611993	8.66E-09	MTSS1, NOG, LTBP2, PDGFB, NDST1, IL6ST, FGF9, PDGFA, LTBP3, GDF6, FST, FSTL1, TGFB1, IL31RA, TGFB2, FOS, EIF4EBP1, EIF4EBP2, CTGF, TIAM1, PDGFC, ANGPT1, NRG1, FGF1, SIK2, ADAM9, EGFR, PTPRK, RET, PTPRF, PTPRG, ALK, DOK1, VEGFC, GRB10, MSX1, HIPK2, VEGFA, ROR1, SORT1, FOXC1, TGFB1I1, FGFR1, ZFAND5, REPS2, TIPARP, KIT, EPHB3, SRC, EPHB2, LIF, MSX2, IGF1R, RGMB, SORBS1, DGKD, PTK2B, MAP3K1, PTN, SH2B2, EGF, PIK3R3, BMP4, PLAT, SMAD6, MYO1E, AXL, SMAD3, TRIO, IGF2, SMAD1, APPL1, RPS6KA5, EPHA4, EPS8, JAK1, HBEGF, TGFBR3, BMPR1B, BMP7, HPGD, GFRA2, CACNA1A	1737	342	13528	1.890104267	3.81E-05	2.38E-06	1.62E-05
GOTERM_BP_FAT	GO:0010604~positive regulation of macromolecule metabolic process	167	7.363315697	1.46E-08	MEF2C, DLC1, PDGFB, THRB, AURKAIP1, IL6ST, WFS1, PDGFA, GDF6, ARNT2, ZXDC, EIF5A, CASK, TLR3, TLR4, RORB, RORA, GDNF, TGFB1, CITED2, TGFB2, IL31RA, IL11, GATA2, MDFIC, GATA6, FOXF1, PDGFC, EBI3, SAMD4A, ADAM9, ANAPC2, PCBD1, RXRA, ARNTL, MECOM, PROX1, TRERF1, BOLL, PPARGC1B, AHR, VEGFC, EP300, SIX1, VEGFA, TGFB1I1, NFE2L2, UBA52, CAV1, GCLC, SOX2, ONECUT2, CYTL1, NFKBIA, SOX4, AFAP1L2, WT1, LIF, HOXA1, MEIS2, ECE1, PSMB1, PSMB3, TEAD4, HOXA7, MAML3, RUNX2, DNMT3B, BMP4, KLF6, KLF7, TESC, EPAS1, KLF12, KLF13, CD276, ITGA2, SMAD3, CDC20, SMAD1, FURIN, HDAC5, HDAC4, DLX2, NOTCH1, ATF4, ETS1, EBF3, PSMC2, ETS2, EBF2, EBF1, HIVEP3, HOXB9, MAFA, KLF2, BMP7, ELF4, GRIP1, PRKAG2, PPARG, GJA1, ZEB1, PAWR, GLI2, GLI3, EDNRA, FOS, PSMD2, SOX15, PSMD4, MKL2, ALX4, MKL1, ATF7IP, AR, LEF1, HMGA1, CDK2, NRIP1, NCOA1, CCND1, NCOA2, NCOA3, BPTF, HIPK2, FOXC1, USP22, NSD1, CLOCK, GLIS3, ABLIM3, PRKDC, KIT, TCF7L2, IGF1R, ERCC8, RGMB, NPAS2, SORBS1, SQSTM1, PTK2B, BCL11B, MAP3K1, CD24, THBS1, NFATC2, NFATC3, FOXL2, CEBPB, LMX1B, HCLS1, PSRC1, IGF2, CREB5, AFF1, WWTR1, CENPK, ISL1, CCNB1, ATXN1, CDH13, PSMD14, MEOX1, ZNF462, SH3D19, NFIB	1737	857	13528	1.517642309	6.44E-05	3.79E-06	2.75E-05
GOTERM_BP_FAT	GO:0035295~tube development	60	2.645502646	1.59E-08	DLC1, NOG, PGF, PDGFA, FGF9, EDN1, ZEB2, GLI2, GLI3, GDNF, LGR4, ZIC2, EDNRA, CTTNBP2, SPRY1, CTGF, GATA6, CXCR4, FOXF1, LOX, FGF1, CYR61, RET, MAN1A2, PROX1, SLIT2, MIB1, EP300, VEGFA, SIX1, PSEN2, TGIF1, FOXC1, CUX1, ADAMTS2, CAV2, SHROOM3, HOXA11, GREM1, PFN1, CRISPLD2, HOXA5, LHX1, HS6ST1, PLXND1, EGF, BMP4, B4GALT1, EPAS1, CELSR1, FOXP1, FZD6, FOXP2, NOTCH1, LAMA5, SALL1, HOPX, MAPK8IP3, BMP7, NFIB	1737	220	13528	2.124038311	6.99E-05	3.88E-06	2.98E-05
GOTERM_BP_FAT	GO:0007155~cell adhesion	142	6.261022928	1.60E-08	CTNNAL1, DLC1, MTSS1, CADM4, CADM1, LMO7, CASK, EDIL3, NRCAM, CD47, CTGF, TGFBI, COL12A1, ADAM9, EGFR, PTPRK, RET, MAGI1, PTPRF, EFNB1, SSPN, BTBD9, RND3, LAMC3, CD33, LAMC2, TGFB1I1, LAMC1, COL24A1, DST, DCBLD2, TNFRSF12A, ITGB4, ITGB5, CX3CL1, SRC, ITGBL1, ALCAM, LAMB3, LGALS3BP, PVRL1, ITGAV, PVRL3, BAI1, PVRL2, SSX2IP, FN1, B4GALT1, COL18A1, ADAM23, LPP, PPFIBP1, ITGA1, ITGA2, ITGA4, CELSR1, EMILIN2, MCAM, TPBG, DSG2, FREM2, LAMA5, ITGA5, TMEM8A, TROAP, CYFIP2, ABL1, TRIP6, NRP2, COL21A1, CLSTN2, NPNT, IGFBP7, FERMT1, BCAM, SRPX, WISP1, RHOB, ESAM, DLG5, MSN, LOXL2, CYR61, ICAM1, SDK1, LEF1, PCDH9, AMIGO2, CPXM1, CLDN2, VCAN, ADAM12, JAM2, DCHS2, LIMS1, TNC, SPOCK1, COL2A1, CDH2, CLDN11, CDH3, CDH4, CDH6, RGMB, LPXN, EZR, SORBS1, PTK2B, FAT4, TNR, FAT1, PCDHB16, COL6A2, COL6A1, PKD1, CD24, THBS1, COL8A1, THBS2, MLLT4, APBA1, FLRT2, HAPLN1, SVEP1, COL13A1, NLGN1, COL15A1, CD99, NLGN2, NID1, NID2, COL5A1, CDH13, COL19A1, SNED1, FBLN5, DSC3, DSC2, PERP, BMPR1B, MUC16, CDH11	1737	700	13528	1.579879924	7.05E-05	3.71E-06	3.01E-05
GOTERM_BP_FAT	GO:0022610~biological adhesion	142	6.261022928	1.75E-08	CTNNAL1, DLC1, MTSS1, CADM4, CADM1, LMO7, CASK, EDIL3, NRCAM, CD47, CTGF, TGFBI, COL12A1, ADAM9, EGFR, PTPRK, RET, MAGI1, PTPRF, EFNB1, SSPN, BTBD9, RND3, LAMC3, CD33, LAMC2, TGFB1I1, LAMC1, COL24A1, DST, DCBLD2, TNFRSF12A, ITGB4, ITGB5, CX3CL1, SRC, ITGBL1, ALCAM, LAMB3, LGALS3BP, PVRL1, ITGAV, PVRL3, BAI1, PVRL2, SSX2IP, FN1, B4GALT1, COL18A1, ADAM23, LPP, PPFIBP1, ITGA1, ITGA2, ITGA4, CELSR1, EMILIN2, MCAM, TPBG, DSG2, FREM2, LAMA5, ITGA5, TMEM8A, TROAP, CYFIP2, ABL1, TRIP6, NRP2, COL21A1, CLSTN2, NPNT, IGFBP7, FERMT1, BCAM, SRPX, WISP1, RHOB, ESAM, DLG5, MSN, LOXL2, CYR61, ICAM1, SDK1, LEF1, PCDH9, AMIGO2, CPXM1, CLDN2, VCAN, ADAM12, JAM2, DCHS2, LIMS1, TNC, SPOCK1, COL2A1, CDH2, CLDN11, CDH3, CDH4, CDH6, RGMB, LPXN, EZR, SORBS1, PTK2B, FAT4, TNR, FAT1, PCDHB16, COL6A2, COL6A1, PKD1, CD24, THBS1, COL8A1, THBS2, MLLT4, APBA1, FLRT2, HAPLN1, SVEP1, COL13A1, NLGN1, COL15A1, CD99, NLGN2, NID1, NID2, COL5A1, CDH13, COL19A1, SNED1, FBLN5, DSC3, DSC2, PERP, BMPR1B, MUC16, CDH11	1737	701	13528	1.577626173	7.72E-05	3.86E-06	3.29E-05
GOTERM_BP_FAT	GO:0045893~positive regulation of transcription, DNA-dependent	105	4.62962963	2.19E-08	MEF2C, THRB, ARNT2, CASK, RORB, RORA, GDNF, TGFB1, IL31RA, CITED2, IL11, GATA2, GATA6, MDFIC, FOXF1, RXRA, ARNTL, MECOM, PROX1, TRERF1, AHR, PPARGC1B, EP300, SIX1, VEGFA, NFE2L2, TGFB1I1, SOX2, ONECUT2, CYTL1, NFKBIA, SOX4, AFAP1L2, WT1, LIF, HOXA1, MEIS2, HOXA7, TEAD4, MAML3, RUNX2, BMP4, KLF6, TESC, KLF7, EPAS1, KLF12, KLF13, SMAD3, SMAD1, HDAC5, DLX2, HDAC4, NOTCH1, ATF4, ETS1, ETS2, HOXB9, MAFA, BMP7, ELF4, GRIP1, PPARG, ZEB1, GLI2, FOS, SOX15, MKL2, ALX4, ATF7IP, AR, LEF1, HMGA1, NRIP1, NCOA1, NCOA2, BPTF, NCOA3, HIPK2, FOXC1, NSD1, CLOCK, GLIS3, ABLIM3, PRKDC, TCF7L2, NPAS2, SQSTM1, BCL11B, MAP3K1, NFATC2, NFATC3, FOXL2, CEBPB, LMX1B, PSRC1, CREB5, AFF1, ISL1, CENPK, WWTR1, ATXN1, MEOX1, ZNF462, NFIB	1737	477	13528	1.714370544	9.64E-05	4.59E-06	4.11E-05
GOTERM_BP_FAT	GO:0010628~positive regulation of gene expression	122	5.379188713	2.50E-08	MEF2C, THRB, GDF6, ARNT2, ZXDC, CASK, RORB, RORA, GDNF, TGFB1, IL31RA, CITED2, IL11, GATA2, MDFIC, GATA6, FOXF1, PCBD1, RXRA, ARNTL, MECOM, PROX1, TRERF1, PPARGC1B, AHR, EP300, SIX1, VEGFA, NFE2L2, TGFB1I1, UBA52, SOX2, ONECUT2, CYTL1, NFKBIA, SOX4, AFAP1L2, WT1, LIF, HOXA1, MEIS2, TEAD4, HOXA7, MAML3, DNMT3B, RUNX2, BMP4, KLF6, TESC, KLF7, EPAS1, KLF12, KLF13, SMAD3, SMAD1, HDAC5, DLX2, HDAC4, NOTCH1, ATF4, EBF3, ETS1, EBF2, ETS2, EBF1, HIVEP3, HOXB9, MAFA, KLF2, BMP7, ELF4, GRIP1, PPARG, ZEB1, GLI2, GLI3, FOS, SOX15, MKL2, MKL1, ALX4, ATF7IP, AR, LEF1, HMGA1, CDK2, NRIP1, NCOA1, NCOA2, BPTF, NCOA3, HIPK2, FOXC1, USP22, NSD1, CLOCK, GLIS3, ABLIM3, PRKDC, KIT, TCF7L2, NPAS2, RGMB, SQSTM1, BCL11B, MAP3K1, NFATC2, NFATC3, FOXL2, CEBPB, LMX1B, PSRC1, CREB5, AFF1, WWTR1, ISL1, CENPK, ATXN1, CDH13, MEOX1, ZNF462, NFIB	1737	581	13528	1.635375452	1.10E-04	5.00E-06	4.70E-05
